"jitter","jitter_abs","jitter_rap","jitter_ppq5","jitter_ddp"
0.00362,1.84e-05,0.00135,0.0015,0.00404
0.00364,1.91e-05,0.00168,0.00217,0.00503
0.00514,2.7e-05,0.00192,0.00223,0.00575
0.00486,2.81e-05,0.00219,0.00221,0.00656
0.00341,1.96e-05,0.00147,0.00161,0.00442
0.00514,2.82e-05,0.00251,0.00269,0.00753
0.00719,4.78e-05,0.00297,0.0031,0.00891
0.00244,1.57e-05,9e-04,0.00124,0.0027
0.00403,2.15e-05,0.00188,0.00196,0.00565
0.00317,1.84e-05,0.00138,0.00185,0.00415
0.00361,2.25e-05,0.00155,0.00174,0.00464
0.00339,1.87e-05,0.00109,0.00122,0.00326
0.00505,2.7e-05,0.00232,0.00247,0.00696
0.00264,1.57e-05,0.00109,0.00126,0.00327
0.00452,2.55e-05,0.00218,0.00256,0.00654
0.00282,1.49e-05,0.00136,0.0015,0.00409
0.00305,1.78e-05,0.00123,0.00156,0.00369
0.00493,2.74e-05,0.00196,0.00237,0.00588
0.00296,1.83e-05,0.00086,0.0012,0.00259
0.00285,1.62e-05,0.00113,0.00141,0.00339
0.00547,2.35e-05,0.00234,0.00268,0.00701
0.00294,1.46e-05,0.00121,0.00125,0.00362
0.00683,3.18e-05,0.00321,0.00264,0.00963
0.00476,2.31e-05,0.002,0.00256,0.00601
0.00383,1.82e-05,0.0013,0.00102,0.0039
0.00396,2.11e-05,0.00161,0.0017,0.00483
0.00335,1.73e-05,0.00151,0.00159,0.00454
0.00677,3.31e-05,0.00333,0.00339,0.00999
0.00504,2.43e-05,0.00275,0.00208,0.00824
0.00515,2.61e-05,0.00255,0.00253,0.00764
0.00368,1.74e-05,0.00175,0.00191,0.00526
0.00708,3.36e-05,0.00421,0.00359,0.01263
0.00271,1.55e-05,0.00084,9e-04,0.00251
0.0029,1.44e-05,0.00124,0.00142,0.00371
0.00396,1.98e-05,0.00183,0.00208,0.00549
0.00287,1.49e-05,0.00119,0.00119,0.00358
0.0026,1.23e-05,0.00112,0.00116,0.00335
0.00444,2.37e-05,0.00197,0.00224,0.00591
0.00282,1.51e-05,0.00114,0.00141,0.00341
0.0044,2.21e-05,0.00254,0.00249,0.00761
0.00512,2.44e-05,0.00217,0.00201,0.0065
0.00362,1.98e-05,0.0017,0.00179,0.0051
0.00462,2.36e-05,0.00175,0.00166,0.00524
0.0044,2.36e-05,0.00203,0.00218,0.00609
0.00242,1.24e-05,0.00077,0.001,0.0023
0.00567,2.4e-05,0.00295,0.00254,0.00885
0.0025,1.28e-05,0.0011,9e-04,0.00331
0.00311,1.59e-05,0.00111,0.00139,0.00334
0.00273,1.41e-05,0.00074,0.00096,0.00221
0.00178,8.7e-06,0.00083,0.00098,0.00248
0.00268,1.24e-05,0.00097,0.00118,0.0029
0.00253,1.18e-05,0.00091,0.00113,0.00273
0.00306,1.37e-05,0.00118,0.00127,0.00354
0.00393,1.86e-05,0.00132,0.00157,0.00396
0.00341,1.75e-05,0.00131,0.00143,0.00394
0.00742,3.84e-05,0.00339,0.00271,0.01016
0.00285,1.34e-05,0.00109,0.00136,0.00327
0.00411,2.21e-05,0.00172,0.00171,0.00517
0.0019,9.49e-06,0.00084,0.00086,0.00251
0.00488,2.57e-05,0.00265,0.00251,0.00794
0.00449,2.59e-05,0.00213,0.00199,0.0064
0.00388,2.25e-05,0.00156,0.00187,0.00467
0.00428,2.12e-05,0.00193,0.00213,0.0058
0.0037,1.84e-05,0.0019,0.00185,0.00571
0.00688,4.08e-05,0.0039,0.00307,0.01171
0.00399,1.88e-05,0.0018,0.002,0.00541
0.00219,1.23e-05,0.00104,0.00104,0.00311
0.00378,1.96e-05,0.00176,0.00209,0.00527
0.00237,1.24e-05,0.00085,0.00087,0.00256
0.00224,1.17e-05,0.00092,0.00082,0.00276
0.00526,2.57e-05,0.00225,0.00177,0.00675
0.006,4.82e-05,0.00302,0.00294,0.00907
0.0081,6.38e-05,0.00418,0.00457,0.01253
0.00804,6.19e-05,0.00385,0.00435,0.01155
0.0068,4.94e-05,0.0035,0.00319,0.0105
0.00375,2.84e-05,0.00201,0.00209,0.00603
0.00685,4.97e-05,0.00302,0.00399,0.00907
0.00859,6.6e-05,0.00444,0.00511,0.01333
0.00402,3.11e-05,0.00208,0.00237,0.00624
0.00783,5.49e-05,0.00448,0.00398,0.01343
0.00687,5.55e-05,0.0034,0.00345,0.0102
0.00583,4.58e-05,0.00259,0.00294,0.00778
0.0073,6.37e-05,0.00332,0.00408,0.00997
0.00893,6.76e-05,0.00471,0.00501,0.01413
0.00935,6.96e-05,0.00459,0.00477,0.01377
0.01042,8.51e-05,0.00483,0.00565,0.01448
0.00578,4.25e-05,0.00328,0.00355,0.00983
0.00533,4.44e-05,0.00288,0.00302,0.00863
0.0082,6.58e-05,0.00432,0.00483,0.01297
0.00793,6.39e-05,0.00379,0.00385,0.01136
0.00855,6.38e-05,0.00419,0.00418,0.01258
0.00702,5.89e-05,0.00304,0.00357,0.00912
0.0044,3.32e-05,0.0023,0.00282,0.00689
0.00606,4.74e-05,0.00279,0.00311,0.00837
0.00421,3.27e-05,0.00241,0.00244,0.00724
0.00625,4.69e-05,0.0027,0.00301,0.0081
0.00664,5.09e-05,0.00325,0.00394,0.00975
0.00345,2.53e-05,0.0019,0.00213,0.00571
0.00764,5.49e-05,0.00388,0.00344,0.01165
0.00861,6.36e-05,0.00441,0.00435,0.01323
0.00372,2.83e-05,0.0021,0.00221,0.00629
0.00402,2.94e-05,0.00235,0.00234,0.00705
0.00597,4.71e-05,0.00311,0.00324,0.00934
0.00388,3.12e-05,0.00196,0.00232,0.00589
0.00784,6.23e-05,0.00469,0.00385,0.01406
0.00672,5.76e-05,0.00314,0.00362,0.00943
0.00651,5.21e-05,0.00346,0.00292,0.01037
0.0106,7.75e-05,0.00574,0.0058,0.01722
0.01026,8.18e-05,0.00565,0.00565,0.01695
0.00447,3.3e-05,0.00258,0.00254,0.00773
0.00881,6.85e-05,0.00435,0.00447,0.01304
0.00595,4.63e-05,0.00237,0.00281,0.00711
0.00777,6.03e-05,0.00325,0.00379,0.00976
0.007,5e-05,0.00309,0.0029,0.00926
0.00777,6.36e-05,0.00381,0.0046,0.01142
0.00437,3.29e-05,0.00188,0.00224,0.00565
0.00725,5.52e-05,0.0034,0.0033,0.01019
0.0097,6.63e-05,0.0051,0.0049,0.0153
0.00459,3.35e-05,0.00215,0.00241,0.00644
0.00679,4.98e-05,0.00294,0.00381,0.00883
0.00536,4.02e-05,0.00252,0.00228,0.00756
0.00772,5.52e-05,0.00382,0.00423,0.01147
0.00475,3.62e-05,0.00264,0.00253,0.00791
0.00729,5.51e-05,0.00408,0.00384,0.01225
0.00433,3.13e-05,0.00245,0.00246,0.00734
0.00612,4.83e-05,0.00317,0.00373,0.0095
0.0037,2.99e-05,0.00183,0.00226,0.0055
0.00813,6.36e-05,0.00401,0.00475,0.01204
0.00843,6.57e-05,0.00417,0.00524,0.01251
0.00626,5.26e-05,0.00362,0.00333,0.01086
0.00778,6.16e-05,0.00402,0.00441,0.01205
0.00551,4.34e-05,0.00308,0.00329,0.00924
0.00571,4.65e-05,0.003,0.00281,0.00901
0.00498,3.65e-05,0.00242,0.00261,0.00726
0.00814,6.37e-05,0.00371,0.00399,0.01112
0.00955,7.39e-05,0.00467,0.00513,0.014
0.00558,4.18e-05,0.00209,0.00247,0.00628
0.00631,4.6e-05,0.00325,0.00339,0.00976
0.00621,4.5e-05,0.003,0.00335,0.009
0.0048,3.96e-05,0.00245,0.00283,0.00736
0.00317,2.3e-05,0.00174,0.00187,0.00522
0.00655,5.08e-05,0.00328,0.00369,0.00985
0.0055,4.27e-05,0.00277,0.00278,0.0083
0.00774,5.75e-05,0.0037,0.00421,0.01111
0.00489,3.68e-05,0.0027,0.00283,0.00809
0.00514,3.6e-05,0.00253,0.00259,0.0076
0.00395,2.99e-05,0.00209,0.00223,0.00626
0.00785,6.19e-05,0.00412,0.00373,0.01237
0.0071,5.46e-05,0.00399,0.00337,0.01198
0.00368,2.59e-05,0.00188,0.00202,0.00564
0.00631,5.05e-05,0.00284,0.00343,0.00852
0.00745,5.83e-05,0.00353,0.00384,0.0106
0.00524,4.05e-05,0.00276,0.00296,0.00828
0.0079,6e-05,0.00372,0.00395,0.01115
0.00848,6.88e-05,0.00474,0.00578,0.01423
0.00869,5.67e-05,0.0034,0.0044,0.0102
0.00506,4.2e-05,0.00256,0.00278,0.00768
0.00909,6.76e-05,0.00483,0.00536,0.01448
0.00609,4.98e-05,0.00275,0.00333,0.00826
0.00778,6.5e-05,0.00364,0.00411,0.01093
0.00414,3.07e-05,0.00208,0.00255,0.00625
0.00499,3.7e-05,0.00251,0.00274,0.00752
0.00755,6.18e-05,0.00388,0.00371,0.01163
0.00417,3.09e-05,0.00235,0.00232,0.00706
0.00517,3.91e-05,0.00286,0.00285,0.00857
0.00581,4.39e-05,0.00284,0.00297,0.00851
0.00712,5.21e-05,0.00399,0.00434,0.01196
0.00324,2.37e-05,0.00166,0.00204,0.00497
0.00549,4.04e-05,0.00317,0.00293,0.0095
0.00574,4.59e-05,0.00308,0.00326,0.00924
0.00448,3.44e-05,0.00244,0.00266,0.00733
0.00454,3.14e-05,0.00203,0.00243,0.00608
0.00828,6.34e-05,0.00444,0.00479,0.01333
0.00603,4.28e-05,0.00284,0.00352,0.00852
0.00515,4.01e-05,0.00273,0.00308,0.00818
0.00611,4.18e-05,0.00347,0.00352,0.01041
0.00611,5.01e-05,0.00336,0.00336,0.01007
0.00605,4.36e-05,0.00261,0.00314,0.00783
0.005,4.02e-05,0.00272,0.00292,0.00815
0.00482,3.52e-05,0.00253,0.00292,0.00758
0.00772,5.81e-05,0.00373,0.00282,0.0112
0.0085,6.48e-05,0.00472,0.00488,0.01416
0.00368,2.65e-05,0.00197,0.00205,0.00591
0.00503,3.44e-05,0.00224,0.00266,0.00672
0.00335,2.43e-05,0.00176,0.00173,0.00529
0.00752,5.92e-05,0.00395,0.00382,0.01185
0.00482,3.29e-05,0.00234,0.00211,0.00702
0.00702,5.42e-05,0.00348,0.00337,0.01043
0.00543,4.01e-05,0.00297,0.00299,0.00892
0.00379,2.79e-05,0.002,0.00216,0.00601
0.00708,4.89e-05,0.0039,0.00335,0.0117
0.00762,5.65e-05,0.00369,0.00265,0.01108
0.00651,5.19e-05,0.00368,0.00395,0.01104
0.0051,3.79e-05,0.00278,0.00297,0.00835
0.00348,2.44e-05,0.00184,0.00207,0.00551
0.00415,3.29e-05,0.00211,0.00234,0.00632
0.00475,3.61e-05,0.00234,0.00255,0.00702
0.01032,7.41e-05,0.0053,0.00489,0.01589
0.01062,9.12e-05,0.00518,0.00529,0.01555
0.00435,3.35e-05,0.00236,0.00262,0.00709
0.00606,4.4e-05,0.00269,0.00295,0.00808
0.00788,6.39e-05,0.004,0.00392,0.01199
0.00401,2.93e-05,0.00221,0.00241,0.00662
0.00475,3.47e-05,0.00206,0.00209,0.00618
0.00993,7.14e-05,0.00552,0.00457,0.01655
0.00417,3.01e-05,0.00195,0.00222,0.00585
0.00712,5.71e-05,0.00337,0.00367,0.01011
0.0065,4.87e-05,0.00351,0.00355,0.01053
0.00565,3.15e-05,0.00321,0.00325,0.00963
0.00273,1.57e-05,0.00152,0.00165,0.00456
0.0038,2.35e-05,0.00221,0.00237,0.00663
0.0032,1.86e-05,0.00158,0.00182,0.00474
0.00349,2.04e-05,0.00185,0.0022,0.00555
0.00271,1.59e-05,0.00134,0.00157,0.00401
0.00303,1.95e-05,0.0012,0.00152,0.0036
0.00303,2.14e-05,0.00139,0.00188,0.00417
0.00308,2.12e-05,0.0016,0.00176,0.00481
0.0029,2.01e-05,0.00112,0.00168,0.00337
0.00437,2.78e-05,0.00245,0.00228,0.00736
0.00293,2.29e-05,0.00135,0.00178,0.00404
0.00282,1.87e-05,0.00126,0.0016,0.00378
0.00323,2.04e-05,0.00173,0.00173,0.00518
0.00222,1.42e-05,0.00107,0.00133,0.00322
0.0039,2.36e-05,0.00209,0.00214,0.00626
0.00344,2.26e-05,0.00166,0.00204,0.00499
0.00616,5.91e-05,0.0028,0.00307,0.00841
0.00358,2.36e-05,0.00152,0.0021,0.00457
0.00219,1.31e-05,0.00112,0.00136,0.00337
0.00484,2.87e-05,0.00268,0.00271,0.00804
0.00323,2.05e-05,0.00153,0.00147,0.0046
0.00199,1.31e-05,0.00087,0.00115,0.00261
0.00695,3.91e-05,0.00389,0.00361,0.01166
0.00285,1.66e-05,0.00126,0.00166,0.00377
0.00218,1.37e-05,9e-04,0.00116,0.00271
0.00304,1.73e-05,0.00157,0.00151,0.00472
0.0031,1.8e-05,0.00142,0.00186,0.00427
0.00342,2e-05,0.00171,0.002,0.00512
0.00465,2.99e-05,0.00237,0.00218,0.00711
0.00266,1.56e-05,0.00134,0.00158,0.00401
0.00276,1.94e-05,0.0012,0.0014,0.00359
0.00211,1.45e-05,0.00088,0.00127,0.00264
0.0016,1.09e-05,0.00067,0.00097,0.00202
0.00275,1.74e-05,0.00121,0.00162,0.00364
0.00319,2.46e-05,0.00132,0.00182,0.00396
0.00307,1.96e-05,0.00138,0.00169,0.00415
0.00231,1.46e-05,0.00103,0.00131,0.0031
0.0033,2.08e-05,0.00156,0.00153,0.00469
0.00279,1.65e-05,0.0013,0.0016,0.00391
0.00256,1.65e-05,0.00106,0.00149,0.00318
0.00415,2.61e-05,0.00194,0.00263,0.00581
0.00201,1.29e-05,0.00071,0.0011,0.00214
0.00386,2.31e-05,0.00179,0.00174,0.00537
0.00306,1.79e-05,0.0017,0.00167,0.0051
0.00271,1.75e-05,0.00126,0.00137,0.00377
0.00213,1.39e-05,0.00088,0.0014,0.00265
0.00527,2.95e-05,0.00292,0.00324,0.00876
0.00336,1.89e-05,0.00166,0.00188,0.00499
0.0022,1.33e-05,0.00084,0.00135,0.00252
0.00411,2.33e-05,0.00208,0.00263,0.00625
0.00285,1.63e-05,0.00116,0.00155,0.00347
0.00279,1.61e-05,0.00156,0.00166,0.00468
0.00429,2.69e-05,0.0019,0.00216,0.0057
0.00324,1.86e-05,0.00159,0.00169,0.00478
0.00336,2.38e-05,0.00153,0.00115,0.00458
0.00543,3.72e-05,0.00283,0.00181,0.0085
0.00242,1.67e-05,0.00107,0.00118,0.00322
0.0027,1.69e-05,0.00127,0.00157,0.00381
0.00338,2.58e-05,0.00178,0.00175,0.00533
0.00219,1.43e-05,0.00112,0.00145,0.00336
0.00366,2.29e-05,0.00185,0.00169,0.00554
0.00259,1.59e-05,0.00106,0.00139,0.00319
0.00277,1.63e-05,0.00148,0.00157,0.00443
0.00219,1.43e-05,0.001,0.00113,0.003
0.00657,4.15e-05,0.00328,0.00338,0.00984
0.00295,1.89e-05,0.00125,0.00169,0.00376
0.00253,1.51e-05,0.00121,0.00149,0.00363
0.00259,1.5e-05,0.00135,0.00149,0.00405
0.00289,1.84e-05,0.00128,0.00135,0.00383
0.00355,2.32e-05,0.00135,0.00119,0.00404
0.00392,2.34e-05,0.00187,0.00214,0.00562
0.00385,2.29e-05,0.00175,0.00173,0.00524
0.00506,3.2e-05,0.00178,0.00205,0.00535
0.00275,1.63e-05,0.00119,0.00152,0.00356
0.00227,1.37e-05,0.00101,0.00143,0.00302
0.00225,1.36e-05,0.00106,0.00138,0.00317
0.00229,1.42e-05,0.00107,0.0013,0.00322
0.0026,1.53e-05,0.00141,0.00148,0.00422
0.00297,2.18e-05,0.00123,0.00175,0.0037
0.00421,3.11e-05,0.00178,0.00197,0.00535
0.00229,1.64e-05,0.00111,0.00137,0.00334
0.00235,1.49e-05,0.00108,0.00146,0.00325
0.00414,3.38e-05,0.00206,0.00213,0.00618
0.00217,1.41e-05,0.00102,0.00134,0.00306
0.00316,2e-05,0.00135,0.00173,0.00406
0.00334,2.07e-05,0.0015,0.00186,0.00449
0.00451,2.87e-05,0.00207,0.00244,0.00622
0.00258,1.69e-05,0.00115,0.00131,0.00345
0.00296,1.96e-05,0.00143,0.00166,0.00428
0.0036,2.25e-05,0.00179,0.00201,0.00536
0.00299,1.83e-05,0.00142,0.00156,0.00425
0.00405,2.26e-05,0.00201,0.00196,0.00603
0.00198,1.26e-05,0.00094,0.00122,0.00281
0.00231,1.52e-05,0.00101,0.00135,0.00303
0.00433,2.29e-05,0.00213,0.00264,0.00638
0.00257,1.36e-05,0.00117,0.00151,0.00352
0.00292,1.83e-05,0.00138,0.00161,0.00414
0.00236,1.32e-05,0.00115,0.00149,0.00346
0.00268,1.47e-05,0.00113,0.00137,0.00339
0.00262,1.44e-05,0.00138,0.00161,0.00414
0.00274,1.52e-05,0.00125,0.00145,0.00376
0.00605,3.26e-05,0.00319,0.002,0.00956
0.00234,1.6e-05,0.00101,0.00109,0.00304
0.00438,2.92e-05,0.00249,0.00235,0.00746
0.00258,1.71e-05,0.00114,0.00139,0.00343
0.00381,2.11e-05,0.00164,0.00192,0.00492
0.00243,1.76e-05,0.00108,0.00124,0.00323
0.00352,1.93e-05,0.00164,0.00199,0.00492
0.00456,2.58e-05,0.00177,0.00202,0.00531
0.00246,1.4e-05,0.00118,0.00154,0.00354
0.00349,1.94e-05,0.00166,0.00173,0.00498
0.0028,1.64e-05,0.00115,0.00147,0.00345
0.00238,1.52e-05,0.00117,0.00134,0.0035
0.00361,1.98e-05,0.00195,0.00208,0.00586
0.00219,1.25e-05,0.00101,0.00131,0.00304
0.00262,1.41e-05,0.00106,0.00126,0.00317
0.00338,1.95e-05,0.00169,0.00211,0.00508
0.00244,1.52e-05,0.00098,0.00143,0.00295
0.00388,2.05e-05,0.00173,0.00248,0.0052
0.00361,1.9e-05,0.00153,0.00182,0.00458
0.00481,2.54e-05,0.0023,0.00293,0.00689
0.00332,1.72e-05,0.0014,0.00168,0.00421
0.00358,1.94e-05,0.00175,0.00204,0.00526
0.00393,2.11e-05,0.002,0.00204,0.006
0.00338,1.82e-05,0.00139,0.0019,0.00417
0.00608,3.16e-05,0.00339,0.00343,0.01017
0.00351,2.32e-05,0.00164,0.00193,0.00493
0.00178,1.19e-05,0.00082,0.0011,0.00247
0.00267,1.79e-05,0.00122,0.00149,0.00365
0.00419,2.31e-05,0.00202,0.00239,0.00606
0.00338,2.42e-05,0.00161,0.00173,0.00484
0.00358,1.88e-05,0.00171,0.00204,0.00512
0.00255,1.4e-05,0.00124,0.0015,0.00373
0.00484,2.77e-05,0.00237,0.00234,0.00712
0.00251,1.39e-05,0.00115,0.0015,0.00346
0.00325,1.83e-05,0.00163,0.00158,0.00489
0.00312,1.98e-05,0.00122,0.0015,0.00366
0.00341,1.83e-05,0.0014,0.00165,0.00421
0.00271,1.53e-05,0.00121,0.00152,0.00364
0.00406,2.15e-05,0.00229,0.00194,0.00688
0.00483,2.73e-05,0.00267,0.00262,0.008
0.00364,2.15e-05,0.00173,0.00198,0.00518
0.0041,3.4e-05,0.00163,0.00235,0.00488
0.00382,3.01e-05,0.00184,0.00201,0.00553
0.0032,2.51e-05,0.00144,0.00166,0.00432
0.00574,4.13e-05,0.00239,0.00306,0.00717
0.00505,4.11e-05,0.00231,0.00269,0.00692
0.00411,3.39e-05,0.00144,0.00206,0.00431
0.00688,5.37e-05,0.00288,0.00288,0.00865
0.00559,4.3e-05,0.00319,0.00301,0.00957
0.00432,3.26e-05,0.0019,0.00231,0.00569
0.004,3.08e-05,0.00146,0.0019,0.00438
0.00643,5.2e-05,0.00233,0.00315,0.00699
0.00529,3.92e-05,0.00196,0.00255,0.00587
0.00754,6.08e-05,0.0032,0.00378,0.0096
0.00386,3.1e-05,0.00132,0.00205,0.00395
0.00602,4.78e-05,0.00289,0.00293,0.00866
0.00802,6.36e-05,0.00405,0.00457,0.01216
0.00583,4.76e-05,0.00231,0.00284,0.00692
0.00436,3.57e-05,0.00149,0.00202,0.00446
0.00754,5.97e-05,0.004,0.00437,0.01199
0.00773,6.14e-05,0.00254,0.00321,0.00763
0.0082,6.35e-05,0.00429,0.00379,0.01288
0.0044,3.86e-05,0.0017,0.00239,0.00509
0.00537,4.46e-05,0.0033,0.0028,0.00989
0.00767,5.81e-05,0.00421,0.00438,0.01264
0.00585,4.59e-05,0.00312,0.00283,0.00936
0.00752,5.66e-05,0.00369,0.00335,0.01108
0.00932,7.49e-05,0.00439,0.00522,0.01318
0.00474,3.51e-05,0.00178,0.00225,0.00535
0.00488,3.77e-05,0.00258,0.00261,0.00775
0.00476,3.42e-05,0.00216,0.00238,0.00648
0.00579,4.36e-05,0.00306,0.00315,0.00919
0.00502,4.14e-05,0.00233,0.00259,0.00698
0.00397,3.28e-05,0.00175,0.00199,0.00526
0.00551,4.51e-05,0.00274,0.00304,0.00821
0.00351,2.88e-05,0.00119,0.00192,0.00356
0.00436,3.52e-05,0.00161,0.00209,0.00484
0.00394,3.34e-05,0.00179,0.00236,0.00536
0.00411,3.36e-05,0.00171,0.00212,0.00514
0.00431,3.6e-05,0.00157,0.00212,0.0047
0.00455,3.71e-05,0.00147,0.00197,0.00442
0.00481,3.98e-05,0.00216,0.0027,0.00647
0.00372,3.03e-05,0.00113,0.0019,0.00338
0.00616,4.93e-05,0.00335,0.00375,0.01005
0.00323,2.69e-05,0.00166,0.00195,0.00499
0.0038,3.04e-05,0.00197,0.00204,0.0059
0.00353,2.76e-05,0.00134,0.00187,0.00401
0.00504,4.2e-05,0.0024,0.00277,0.00719
0.00582,5.35e-05,0.00237,0.00368,0.0071
0.00418,3.24e-05,0.00166,0.00217,0.00499
0.00659,5.44e-05,0.00382,0.00354,0.01146
0.00353,2.84e-05,0.0019,0.00212,0.0057
0.00449,3.4e-05,0.00229,0.00251,0.00686
0.0029,2.5e-05,0.00116,0.00168,0.00347
0.00398,3.22e-05,0.0017,0.0024,0.00509
0.00322,2.62e-05,0.00133,0.00173,0.00398
0.00316,2.64e-05,0.00138,0.00171,0.00414
0.00404,3.45e-05,0.00177,0.00234,0.00531
0.00501,4.14e-05,0.0026,0.0025,0.00781
0.00352,2.92e-05,0.00133,0.00202,0.00399
0.00427,3.56e-05,0.00154,0.00199,0.00461
0.00543,4.46e-05,0.00243,0.00256,0.0073
0.00439,3.51e-05,0.0022,0.00242,0.0066
0.00419,3.56e-05,0.00152,0.00214,0.00457
0.0033,2.68e-05,0.00119,0.00183,0.00358
0.00391,3.42e-05,0.00157,0.00201,0.0047
0.00426,3.34e-05,0.002,0.00287,0.00599
0.00403,3.15e-05,0.0018,0.00228,0.0054
0.00566,4.11e-05,0.00228,0.00227,0.00685
0.00329,2.73e-05,0.00149,0.00169,0.00446
0.00332,2.73e-05,0.00131,0.00197,0.00394
0.00326,2.54e-05,0.00144,0.0019,0.00433
0.00418,3.4e-05,0.00156,0.00219,0.00467
0.007,5.33e-05,0.00377,0.00438,0.01132
0.00514,4e-05,0.00259,0.00294,0.00776
0.00367,3.07e-05,0.00141,0.00225,0.00423
0.00314,2.65e-05,0.00142,0.00179,0.00426
0.00268,2.19e-05,0.00111,0.00152,0.00333
0.00414,3.15e-05,0.0017,0.00214,0.00509
0.00431,3.19e-05,0.00204,0.00208,0.00611
0.00295,2.4e-05,0.00114,0.0016,0.00343
0.00384,3.11e-05,0.0016,0.00204,0.0048
0.00352,2.7e-05,0.00127,0.00175,0.00381
0.00313,2.71e-05,0.00123,0.00182,0.00369
0.00363,2.82e-05,0.00132,0.00171,0.00395
0.00605,4.93e-05,0.00306,0.00313,0.00918
0.00463,3.94e-05,0.00169,0.00232,0.00508
0.00729,5.77e-05,0.00384,0.00346,0.01151
0.0031,2.56e-05,0.00105,0.00169,0.00316
